Date,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2020-01-01,37.90262610030407,36.95154805359866,34.87222357337441,33.51489770829571,34.72664113386914,38.18060356826046,42.51847985991151,39.88348786293162,42.96810793132509,42.79173032799857,41.873071146893295,42.03513246225998,39.531791899666004,40.15377138467939,40.94261901131196,43.47225780539027,49.408281204094635,54.260131785333456,51.681755068689824,47.115527762841424,42.63637716746753,39.14240598311163,38.759321728064165,39.01985630924469
2020-01-02,33.64045731751656,32.011917244355,27.121453414340387,25.37192875482993,22.04249726072803,24.643089088955243,28.06462263393879,29.24724509911996,32.735607757503175,34.50866018233711,34.57267387434949,33.42398583456567,31.335947592448452,30.054504995297627,28.547207643190596,28.65542248197615,32.94376028915427,38.88267922987035,40.33406693512178,36.1788200645604,30.484114245664422,32.73185402313512,31.523996095977786,27.963093079291127
2020-01-03,29.311548340291985,27.34270559089617,23.15532398407703,22.471665149666165,26.9251612753342,31.987466105344744,36.83239082458557,36.59881047868312,41.059118661450086,38.661845348657955,38.80571352779097,38.126070789622986,35.969333079730674,35.49989540101198,36.215745386791205,37.707647138860224,44.23605768951994,47.37352256138297,48.14397140914503,41.45451980924514,39.66917715035824,40.136825977969764,37.64996485686488,36.62658536236516
2020-01-04,31.745146085678783,28.728930357183255,25.522913894209967,23.184087850891736,21.414580392744647,23.616764281368212,27.670576495247577,32.97012692225147,38.01398778687673,38.73038044808253,36.04565568913366,35.976559286967436,32.99217435478093,32.39697842205817,33.63540594204793,34.12489485138978,41.930854877263904,47.99321359095284,48.83236489167745,45.06875780316288,40.3063905839903,41.46971279618375,38.34601697907311,33.99797663875802
2020-01-05,32.11771352282878,30.797017385632863,28.617500428618982,27.127957315976126,27.007488968800452,24.664735422070944,27.278480072367607,30.156076700034916,35.37129541148615,37.84254733693903,38.58582824263705,37.408773825071975,34.443829677715016,34.277478849794754,34.79101245121551,37.59773127896695,45.585743766294705,49.0232035875193,47.067957423595665,41.989976938318584,34.90009639772546,35.749038482891734,36.63652368998983,34.667433500353724
2020-01-06,28.7245214413552,26.778456750182173,24.54042005686903,25.16610990421828,28.47183902728143,37.25748535220452,45.98368413244208,46.5861056733978,47.53553917109542,47.104978766018135,45.67131013420711,42.62113788358412,42.58790121294589,42.800623769301495,43.24212637829452,44.495903028869,49.7690720670163,50.57776112709163,46.33623151161711,40.8082398990179,34.33372281856035,34.050219124108466,33.04563101905458,30.210292709879536
2020-01-07,28.285624774792524,26.76452699485809,24.278064343937537,23.965821878888374,26.439095015880863,34.00547096273937,41.53995507149608,43.10664056357369,43.36989232591261,41.29339218249506,38.73698140674081,39.22022264438919,38.821952909219256,38.646417138480615,37.82562102730372,38.21878000391576,43.33368669620411,43.74406764549265,37.63517490267073,36.961433476826144,29.573218260517702,30.31017916014813,29.181879891061037,25.38307100567414
2020-01-08,27.8722677030292,26.45487169769343,23.657953261239584,23.136337397935275,27.233681191713718,32.572420893054016,38.05463489726357,38.409341276983646,41.75049715396197,42.44880581009365,41.28736699839521,40.81521596598312,39.50260500679419,39.61554238845085,39.69286143849853,43.13449461984087,52.20035596351161,53.99275736504479,51.85444206681548,46.93267371112194,41.64810247196063,41.16150164164697,36.13920035449759,34.286012966410176
2020-01-09,31.72169386871055,28.564229650097097,26.259505728612535,25.355928346697883,28.16750109564221,35.21326405867467,39.57531930285461,43.58313633686355,41.371718679184085,41.12417836614106,40.47385111535781,37.985364985177455,37.3956639487957,38.202836783662306,38.25992788286701,39.18497080662998,45.50331283233916,45.57005775282566,41.72436294732893,38.12059308772161,34.76896752292815,34.01974851723936,31.496456137679804,28.545300657127886
2020-01-10,24.869654685013874,23.16868791823121,21.16835601709442,20.709263203743895,24.682546743902034,30.559867738884428,35.88988956247864,37.99671282032132,39.01470222931424,40.29066204216819,39.81328674978745,38.36731863175299,39.16648707463025,38.252222305927795,36.38588675016295,39.70330231485729,45.982758493681104,48.415249396340315,47.5432346380811,42.9185675482001,38.26325694996606,39.53987207387461,38.002541630337305,36.440311311670904
2020-01-11,31.26243029995825,29.750525123389153,26.275172049064793,23.843591781245237,22.550502522547493,24.753936164768714,26.807561784924427,32.7231307169899,37.079488160339864,36.9327106999705,36.28732183428054,34.29027572141735,32.56008836898701,33.59493111100125,33.515869868912105,32.23655941377907,37.307175453715175,38.14574652933225,38.33237420699622,33.47164503917232,29.146148340843713,31.902580949854144,29.807868513148616,24.886614861519153
2020-01-12,21.55220308424919,20.14702446022171,16.47667444552892,14.519394869878203,12.600363131272262,9.950893013518137,17.18935392382926,19.527348785506547,26.062401426662404,29.88218707139673,31.263876694234025,29.59677210758231,26.946363109945985,24.608673505191863,25.019097622959475,27.970942628940122,39.10607609500268,44.90498434414463,43.89877285722074,38.52868535587229,34.63291490958018,35.555762974468564,31.880494244373597,29.64040342935595
2020-01-13,28.266568760525917,25.590270975721168,23.656520169480665,23.322276235340254,27.580269915974515,36.898937546902424,45.998710182680654,47.556493702331345,46.89025678728529,45.64255085453872,42.00483159791153,39.423997658712295,39.87418368257133,39.21079609708654,40.66155329546051,42.56547790107581,45.574881738572714,48.15502398077116,44.278355841418524,37.85336457020922,29.517890259372574,30.77670983749531,29.980910165877873,26.699288457299016
