Date,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2021-01-01,47.62309465525968,45.67229800662455,43.09946140332466,39.30063209814852,38.67529543340858,35.51094068662308,37.6741839210437,42.45776947083151,47.84451271060696,50.00720758922138,53.71938154372152,53.43676783438322,48.29421203226203,48.066708956731205,48.64370506389497,51.24563018772641,58.37249677101943,62.55800874424431,62.802081444219105,52.45962548926081,50.032500408218645,51.47031659958062,48.63093685437938,48.79094476064842
2021-01-02,45.08858070516084,44.90363237210818,42.675564499937465,40.7882419513963,42.76601786672119,45.90764006188374,48.32459688225913,53.905793241873226,59.28153997209938,65.0220439003435,63.427455098444185,66.54257735504632,61.717530115846365,59.35507336101649,60.219091025701736,63.492225222682265,66.73708491937376,69.88386597332783,69.73084836822797,59.813424929243,53.426910771685336,55.38655644910086,52.57987286955645,46.56005003028564
2021-01-03,42.96646758791598,41.73047118031724,38.43735143960887,34.933139292352806,35.631588687456244,36.78853098230861,37.398223818761764,42.55173546539385,48.316877979836164,46.95446825713317,49.8771373075189,49.471691210492196,48.86316034495573,45.62230181039317,46.45148708704711,48.27818657345131,56.301774437269806,59.39263154531663,50.576732829684005,45.27016585873029,43.368624977746364,45.50354795041329,43.52006053670736,37.284162477307056
2021-01-04,27.500494982810046,28.831976959778174,28.07846578497471,26.87584105183618,30.83641535096585,40.945348014701516,52.948649540777765,56.53451041718774,58.35574850747326,55.960329070764146,51.54447356294228,52.16613195826177,53.90709487468494,55.10192014061596,58.92087447749931,63.8608700717006,69.09390200258454,66.3654351895665,58.468195943627656,54.28551438341024,47.15753503797142,46.43423194021032,39.03314798852848,38.92004152060541
2021-01-05,60.83158436341992,55.72020975020921,49.786206372388534,50.296161706102,52.87833101568682,56.678604021616685,65.16511739856492,67.02468436189982,64.29905361326207,62.7428556457909,60.63901760020065,60.8421150991347,59.379316941788176,60.577181735947015,62.583688571657234,66.96499239896357,71.76740036014958,66.90852708518446,54.00852675782908,51.5815678440528,52.039855885785734,53.96824215082471,45.57456194312075,48.37366006852667
2021-01-06,45.93507892280705,42.73356782495824,40.288691663845796,41.83644238838463,46.19155475806088,46.43424095378335,57.56663103658568,61.493371558685745,66.20342714702585,64.78322642773568,66.31847173096675,65.68131378356739,66.48473626466709,62.38300809466319,61.42700109312813,64.98867978253126,69.3890106504918,65.8101169751794,59.089285709169815,54.39264061695064,50.70067438282066,50.63228386882773,48.81024368135263,49.328557340549956
2021-01-07,79.71220660218712,74.24659552503998,61.39249873098524,61.52309353705642,65.27054580734364,64.07247156812431,72.41987571633486,84.2644983652078,94.41527104624262,94.32058921659933,96.65747211168858,94.81406809951477,93.2287235295826,87.62466750858958,84.71390586599475,83.86080608716983,94.42306287834712,103.87064846580324,80.57932716377559,75.91561073657601,69.11779920789445,61.08618653088816,56.26062378098982,61.893436793435484
2021-01-08,45.49813927017528,47.78320028951863,45.52051234746209,45.02661237659644,49.555736730595115,52.84765478830873,79.27595772144613,91.50268890270175,95.06993245418107,92.87186117859068,91.99636499139343,89.97089362801003,89.74364877266588,87.2599415468859,86.7645088676729,91.39859946116412,100.7284869978086,112.75993974176559,96.49903364819627,74.71881781083049,68.45796816116565,62.39248391702961,60.299009180709106,67.82106844409277
2021-01-09,59.09324911068281,47.71941237821042,47.41111564107071,48.656308852788825,50.48446556370073,56.08288392939512,56.65221376248248,62.87316502843353,74.70699076224783,71.00179193396502,72.16738481443424,69.22240392280086,68.87756230719665,67.87284693059671,67.88926782830768,72.36419370944525,80.40113192749324,73.96232403966904,64.44049587156323,57.60316007622025,58.4249025509427,57.095973305089686,53.99840904552481,50.97896939101355
2021-01-10,54.63496575789691,50.77658600727062,46.96698342068389,45.876777028995775,45.07754870056158,43.85816841495108,48.807272069282035,53.51132775011712,58.49821181111749,63.79009229949598,60.44560926020462,63.84238550623192,59.63737401974428,54.264965311958825,56.33738076178338,61.85685608678502,65.36006246718516,65.98746473354369,71.95537873158582,59.42706296736187,57.07268007567362,56.86679036204266,54.36919804189382,59.743410862229084
2021-01-11,58.97191191323355,54.12832511143117,50.29338809397507,49.4753315894866,52.59100326463947,64.04805811110403,70.19931410583598,82.40835794563064,80.49315179300584,72.24770598499741,72.43628661711442,68.46681826616896,71.28312164947964,68.35832559719324,68.346641674695,73.43278126897242,84.98075049405996,84.5121642511269,68.53291662578722,54.56804821086037,48.6395433165942,49.509704561190084,49.537328607208046,41.479771109004986
2021-01-12,40.80630090091617,40.2235172809436,35.02716043217576,33.542608247081205,39.77790071058476,49.908473108833846,66.11053159979608,70.24873831690418,80.64218603337676,74.22031984370079,71.37878171920788,67.72048691062066,66.25227567248666,62.08572731592692,63.681916897946465,66.81055959023058,82.43282008215108,91.20854129771504,74.17134380595986,68.1135096979292,58.99241672320946,60.60519136251029,64.46187342093148,57.466688023343806
2021-01-13,49.974407060935,48.94371018863074,42.482601883305186,41.83778488889474,46.97858275487549,61.097647129340686,76.52537175803083,76.60992838164093,95.51747372759738,82.70764035568477,77.26675730638465,69.12875910382597,66.14249669380813,70.70902857625897,67.40981594864152,72.44324998302969,90.02751128640479,78.8177989532812,75.59447716924608,68.59746622844942,51.58538963570267,59.96177456323786,56.854627578367825,55.69917912624272
