Date,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2020-01-01,36.471407035446944,36.269090077207125,34.18520527691898,30.920477941976404,28.73967352755859,26.860319058808027,25.64886313366777,28.863418036357814,32.23073557685333,34.61523322388193,32.58457603226744,33.424050026013724,31.591680095885483,31.027393455455282,29.92645641213072,30.972422200307417,37.12039372553003,38.66810592571752,43.943008998885766,38.8256624487312,37.53512060157416,36.538543231036876,35.53914571558004,36.77642591300265
2020-01-02,33.572227535881474,33.0282884446345,30.50239505099103,28.131209928911403,29.196695772634776,35.89207513440128,41.49535990575799,40.43725078449146,42.841439476758374,43.057569432957386,42.078922954299415,40.59010924729472,38.61125404762286,37.79793392161772,39.592406976916074,39.62963939217062,46.33708466837051,50.03880760521492,49.06585015529797,40.753092685173115,34.23499968188945,34.4678992755467,32.34293033740369,24.85953521408818
2020-01-03,29.58047448941597,26.534794295357806,21.94552032605582,21.944771482293916,24.131874585078613,31.29803727486202,36.590623481850386,39.531044877229064,41.73469246058644,42.762006277266416,41.07433553289607,39.455120857039,37.70657856726184,37.39825999415902,38.33741769156972,36.0865171897408,48.14175961825773,53.04583966097319,55.13087574644748,42.81642366955644,41.00677083806666,41.26787172604166,38.28584358911167,34.071369481668405
2020-01-04,30.63773907570292,27.16633595271285,22.435724324276954,21.892141438032358,20.05623224755769,24.73774782070431,28.71042760730435,33.728694583066925,40.25990578339676,39.15477098386548,35.9071495998163,36.23776682853983,33.362578878559276,32.889624348500085,34.82116240856181,34.20355751507585,45.870561663136755,52.98977325937008,51.285068252115614,41.658848052336076,41.71242416539144,42.404314785094684,39.18227844230436,29.740237525617918
2020-01-05,32.59446984385294,31.77793747735398,28.685763598736038,25.97617690618565,23.504509619622823,26.516082174324453,27.817385953098146,32.19589094076416,36.52368123406845,39.00354645742498,39.08561418603165,38.203280600055905,35.6201765097086,34.9652021620808,34.59969912896488,36.36974706304,44.674298520043145,54.88490560905493,44.54736819395229,39.985429566562644,34.52055334827969,35.34589662843604,34.98357696685085,32.11487326049983
2020-01-06,30.072105854307868,29.617287715554372,25.967944877803344,27.104405581375396,26.928727693677466,35.26767352878731,43.78615724970298,50.63785752662967,48.437227721174835,47.42416651422622,42.89532541709564,39.39775253906339,39.6047967120572,39.69536001635343,39.054003104393445,39.927482706791736,45.266417853186155,46.436209974136226,39.01125950859764,37.01568254015191,30.611942706612595,32.02721500114158,31.01232501238286,30.522723236126335
2020-01-07,30.337082232137803,29.24226726966441,28.08486336061921,28.003233974117762,31.25608909543316,39.94260198531113,48.561285855172144,52.98364372673727,51.68888011959125,47.692086050594675,46.005371299150106,43.554906630877355,42.206296509619264,42.301686796125615,42.09635669065526,41.95040639918195,44.184338541835785,39.94996052534176,32.28546527439021,37.050348428713,32.55291205885337,32.490839001857225,32.232395903680384,27.8212417092898
2020-01-08,28.969685415574997,27.456475283091905,24.995649550203577,24.932918931916703,28.347475215637328,34.710724862801925,38.63134828964886,40.52513606151175,45.79177867145471,45.55397986337915,45.957853411052675,45.167551838211075,43.878414486332225,43.814680090715,46.72972643231643,45.30206558490418,57.01765740432719,57.92478935939026,55.17226917112965,45.03909475949729,39.30886524265565,39.67128014757516,35.49944648360588,32.382890637924085
2020-01-09,31.46002910621842,28.993662131274853,26.564093204649808,24.20616531061535,25.25764844468832,36.47000232503604,39.17570808205051,39.4185292184107,38.54249713917925,37.4546709870703,38.49419231822049,37.30629050385259,37.55384570603461,37.019616181032646,37.80231100173137,37.73143120333153,41.27402393290606,37.813331596149126,33.55821365808021,33.51555496008096,33.11845029113306,32.893712739096514,30.01353782550233,23.5230619675263
2020-01-10,25.927907065909913,24.859962255228638,21.93370734135306,22.301882622347726,26.737384460027936,32.37917298168187,37.934163914722696,42.320373480480676,42.664121330450264,40.79108376294377,40.634563854959,38.699893547305585,39.5354530993438,38.06780147422623,37.89193191272554,42.34552793332197,50.74071603385635,51.4574093591364,46.97767179985198,44.527097519148796,39.900562337220265,39.81529445138103,37.37440900379311,35.96549160574691
2020-01-11,31.406384124306562,30.23056478911176,26.64910795333783,25.364514788110917,25.3318894590654,29.479756555046148,29.926719134694654,35.949729227542534,38.33153259268561,35.27627599926394,35.51219254737608,34.12778742498816,32.8597507184179,32.78362111742289,32.941307152236206,33.78939284051594,38.24718589051983,39.49806893614076,35.17689201966837,34.06122183769927,31.6436779007094,31.620183284311494,30.737910646681403,24.92325081748927
2020-01-12,22.767111660775797,21.737880120155104,19.0307174198728,17.38526768339534,17.63560033108177,21.29444470257646,23.418553365093715,24.01551980529181,28.98769585727126,31.548924154221957,32.52197577371783,32.53750044899098,31.25247714836123,28.72645227763577,30.56668663912466,30.921247635040658,42.53687104632086,42.55523475182791,47.198972934745186,38.94336075267822,36.19860856316444,36.522415981632406,34.43132352439188,31.119978071184562
2020-01-13,28.8742370317467,25.295236676132646,24.187553443930298,23.099587796628153,25.549158215328397,37.11114131666862,47.510491315989015,51.26988209258798,47.95309574002039,45.03377513719894,42.52831948606234,40.64680480572746,38.83001980767061,37.73829869361088,40.45470096394771,40.39478577636411,48.82873874003916,50.81000619630184,44.47727813797212,33.8708219869443,31.44041816927933,30.265029507810404,28.439474970819607,22.15929510652234
