,datetime,Solar,Wind,Lagged_Prices,Fossil_Fuels,FR_Generation_Load,Swiss_Prices,BE_Load_Weather
0,2021-01-01 00:00:00,0.0,0.0905793904327028,0.7863309989985859,0.0005389970142851448,0.039639771891990534,0.11136727892665048,0.0
1,2021-01-01 01:00:00,0.07839207381528848,0.08113577016326287,0.6466762901903497,0.01953111337830499,0.05338842384037473,0.19200834624812338,0.0
2,2021-01-01 02:00:00,0.011242592221753464,0.10920265293708502,0.465075437687004,0.07064845079518063,0.0,0.32332118239979996,0.013284349222399863
3,2021-01-01 03:00:00,0.0023548639975750295,0.21684560245085863,0.43994302852861794,0.07049693045317743,0.0,0.27256183773998255,0.08320769595707025
4,2021-01-01 04:00:00,0.06635335593462358,0.18487991842176202,0.44990880010869616,0.08132664289509313,0.09948086286375826,0.041317955184366824,0.1932642006327571
5,2021-01-01 05:00:00,0.09364434441709013,0.3078802482470612,0.24322499779167722,0.0,0.1684258186164576,0.27390541827737536,0.29052571582040787
6,2021-01-01 06:00:00,0.06629315528891735,0.22948891312154662,0.0017190729048705714,0.0,0.18054435588670772,0.5748952717327018,0.14003165502499115
7,2021-01-01 07:00:00,0.017901810801304863,0.17578531665788702,0.020885157722268323,0.06345503755942887,0.16636035408213806,0.7492774966121492,5.763560989421483e-06
8,2021-01-01 08:00:00,0.06152302185047673,0.23896063308848006,0.03925193507452595,0.10993184898245274,0.15611158176904869,0.6698736997914141,0.04038946721465577
9,2021-01-01 09:00:00,0.17743810627961953,0.17432104713213406,0.033511302084476655,0.01653060044777203,0.05878871884012423,0.6760553483121855,0.16142284593236966
10,2021-01-01 10:00:00,0.14354066103223537,0.35808383928409904,0.09972516568157766,0.0,0.034535710840196375,0.4992118668977166,0.20893784591915926
11,2021-01-01 11:00:00,0.168736324833076,0.3391794908934375,0.06172066157054561,0.0,0.02348842069950012,0.5444319167132629,0.19063211457523702
12,2021-01-01 12:00:00,0.1389936038182407,0.21837765271228635,7.442582031618079e-06,0.0,0.12504375754039293,0.6201791123391007,0.22648318191691488
13,2021-01-01 13:00:00,0.10252649920543415,0.3756897036715866,0.14483379249341508,0.0,0.026144267616811254,0.595402824267564,0.19182983505063061
14,2021-01-01 14:00:00,0.02807795977302255,0.21906193914538735,0.022606682648206904,0.009148982280348638,0.04042104270823771,0.7702069167443801,0.09854896680237495
15,2021-01-01 15:00:00,0.05782799080726023,0.2669416706912096,0.04503310171826329,0.012467561310639138,0.028131734276756814,0.7574098934359024,0.05516610361043533
16,2021-01-01 16:00:00,0.001940379405004807,0.10182443983786629,0.10302614127659412,0.08179713387021666,0.06773074148906486,0.7553172024964177,0.17991050393418173
17,2021-01-01 17:00:00,0.0,0.115831802619137,0.23391867937081898,0.0,0.17848298776034613,0.8874843794481153,0.29674902701356076
18,2021-01-01 18:00:00,0.014036181566293,0.29202797717674295,0.10897086970626425,0.11173769395952847,0.4610918728790589,0.6672952932110319,0.11149347279199925
19,2021-01-01 19:00:00,0.07220122631144214,0.4220112090003463,0.4353230631834518,0.0,0.20818439402343145,0.7730265973952489,0.115182770172342
20,2021-01-01 20:00:00,0.0088559066377562,0.7492391376710821,0.45329859124983474,0.0,0.34293664672279695,0.21879224525168722,0.13922854666823387
21,2021-01-01 21:00:00,0.13048676839454915,0.4640578574925856,0.5770704611788439,0.0,0.467048810947541,0.259804952783327,0.121729559274882
22,2021-01-01 22:00:00,0.21880349823340978,0.40815482765537364,0.422446111769963,0.03825311418098542,0.1780275650250237,0.3822225644410283,0.009301896875132066
23,2021-01-01 23:00:00,0.21777078044039289,0.6004008024763003,0.3681582554919016,0.10904289745989716,0.09579700172085705,0.43619830991348196,0.1580745741008723
24,2021-01-02 00:00:00,0.005233805468377809,0.11421210035854606,0.7831351659835505,0.0018887542297114789,0.05732237062183329,0.10504643191563737,0.0
25,2021-01-02 01:00:00,0.10159869406739143,0.05393047680241142,0.6441871309151211,0.07431993963281011,0.07264835145713515,0.18519017145828925,0.0
26,2021-01-02 02:00:00,0.025359860779659578,0.1158276577455294,0.4676477170014402,0.06050364344091831,0.0,0.32652087436132843,0.012397771036507447
27,2021-01-02 03:00:00,0.036526739297116466,0.21916336021119326,0.45847260786187727,0.06818549452920866,0.0,0.27045922193606076,0.08244471640423051
28,2021-01-02 04:00:00,0.026007874070243693,0.1392970295030342,0.5154834856098809,0.08056457732965015,0.05095558771063349,0.14231498058838296,0.13293390274104347
29,2021-01-02 05:00:00,0.0680850514380161,0.28973797552046676,0.24197336780555767,0.0,0.15046922967501894,0.2954475231008966,0.24159228149806722
30,2021-01-02 06:00:00,0.07019869746462185,0.23630101414469326,0.0008535248196110917,0.0065010771455612125,0.2020928693190917,0.5835180160338974,0.11915289167400778
31,2021-01-02 07:00:00,0.01138954610116113,0.18049702275474114,0.02295889656630417,0.06904699571779327,0.17048048991312886,0.7497589363124351,0.0035544733171468897
32,2021-01-02 08:00:00,0.048850125318122925,0.14598259159259902,0.03631930910304002,0.08703201588944467,0.12756096715386872,0.6669193739013486,0.05149723191948209
33,2021-01-02 09:00:00,0.13528646619535364,0.15869120571182577,0.04843075777104319,0.022831857340270007,0.0630389095009202,0.6965655835330358,0.12579284515062944
34,2021-01-02 10:00:00,0.15957437919027634,0.3327020650808429,0.04641325360535753,0.0,0.028211266269951907,0.5161056669798515,0.1699871607851483
35,2021-01-02 11:00:00,0.24191379161864335,0.38238749004293726,0.17061059072419382,0.0,0.03949484571853175,0.5832214398029358,0.22540726250912235
